954,953000,45563,606
955,954000,49205,1983
956,955000,45937,3081
957,956000,36216,3747
958,957000,21410,3886
959,958000,3596,3480
960,959000,-14721,2585
961,960000,-30972,1326
962,961000,-42872,-117
963,962000,-48751,-1545
964,963000,-47783,-2755
965,964000,-40104,-3579
966,965000,-26792,-3900
967,966000,-9717,-3673
968,967000,8722,-2929
969,968000,25937,-1775
970,969000,39510,-371
971,970000,47533,1085
972,971000,48881,2389
973,972000,43363,3357
974,973000,31755,3854
975,974000,15688,3810
976,975000,-2582,3230
977,976000,-20490,2197
978,977000,-35520,856
979,978000,-45561,-605
980,979000,-49203,-1982
981,980000,-45935,-3080
982,981000,-36215,-3746
983,982000,-21408,-3885
984,983000,-3595,-3479
985,984000,14723,-2583
986,985000,30973,-1325
987,986000,42874,118
988,987000,48753,1546
989,988000,47785,2756
990,989000,40106,3580
991,990000,26794,3901
992,991000,9718,3674
993,992000,-8721,2930
994,993000,-25936,1776
995,994000,-39508,372
996,995000,-47531,-1084
997,996000,-48879,-2388
998,997000,-43362,-3356
999,998000,-31754,-3853
1000,999000,-15686,-3809
1001,1000000,2583,-3230
1002,1001000,20491,-2197
1003,1002000,35521,-855
1004,1003000,45562,606
1005,1004000,99428,1970
1006,1005000,344912,2144
1007,1006000,468947,1182
1008,1007000,134123,149
1009,1008000,-132137,-27
1010,1009000,-148314,-221
1011,1010000,-102441,-1183
1012,1011000,-255899,-1978
1013,1012000,-501494,-2064
1014,1013000,-452145,-1645
1015,1014000,-205471,-1187
1016,1015000,-52502,-1039
1017,1016000,-83714,-647
1018,1017000,-109326,377
1019,1018000,160760,1379
1020,1019000,470209,1601
1021,1020000,408937,1370
1022,1021000,213539,1613
1023,1022000,239586,1951
1024,1023000,351018,1311
1025,1024000,202653,145
1026,1025000,-146348,-458
1027,1026000,-261566,-630
1028,1027000,-169206,-1132
1029,1028000,-223451,-1903
1030,1029000,-408017,-2134
1031,1030000,-468092,-1644
1032,1031000,-268161,-1055
1033,1032000,-21489,-696
1034,1033000,26281,-310
1035,1034000,13031,477
1036,1035000,158191,1443
1037,1036000,400693,1839
1038,1037000,458649,1619
1039,1038000,282722,1483
1040,1039000,184792,1572
1041,1040000,248805,1211
1042,1041000,183686,177
1043,1042000,-101250,-729
1044,1043000,-320794,-1025
1045,1044000,-295392,-1263
1046,1045000,-230228,-1784
1047,1046000,-325463,-2072
