sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
252,125500,500,2538,3796,2377,3886,2.061000,3.045000
253,126000,500,2239,3803,2079,3897,1.819000,3.049000
254,126500,500,1911,3797,1753,3888,1.551000,3.043000
255,127000,500,1584,3775,1424,3849,1.289000,3.028000
256,127500,500,1293,3727,1135,3764,1.056000,2.989000
257,128000,500,1069,3634,907,3622,0.873000,2.919000
258,128500,500,909,3481,747,3402,0.744000,2.799000
259,129000,500,796,3250,634,3123,0.650000,2.626000
260,129500,500,716,2923,559,2773,0.592000,2.375000
261,130000,500,667,2475,500,2321,0.546000,2.017000
262,130500,500,650,2012,486,1860,0.533000,1.641000
263,131000,500,667,1534,501,1382,0.546000,1.255000
264,131500,500,723,1153,561,992,0.597000,0.942000
265,132000,500,819,845,656,686,0.670000,0.695000
266,132500,500,956,647,791,485,0.779000,0.534000
267,133000,500,1143,524,978,368,0.929000,0.438000
268,133500,500,1378,449,1219,291,1.122000,0.378000
269,134000,500,1661,401,1503,245,1.353000,0.338000
270,134500,500,1983,390,1825,235,1.617000,0.333000
271,135000,500,2316,406,2159,251,1.881000,0.344000
272,135500,500,2632,459,2473,304,2.127000,0.387000
273,136000,500,2888,544,2731,386,2.341000,0.452000
274,136500,500,3091,697,2941,540,2.499000,0.577000
275,137000,500,3236,928,3097,768,2.610000,0.760000
276,137500,500,3328,1433,3205,1280,2.680000,1.173000
277,138000,500,3400,1909,3291,1758,2.732000,1.559000
278,138500,500,3245,2020,3110,1867,2.617000,1.648000
279,139000,500,2778,2020,2619,1869,2.251000,1.649000
280,139500,500,1939,2016,1780,1865,1.575000,1.646000
281,140000,500,1201,2016,1041,1867,0.980000,1.643000
282,140500,500,1064,2020,900,1867,0.868000,1.649000
283,141000,500,1334,2016,1173,1863,1.086000,1.645000
284,141500,500,1920,2020,1770,1869,1.560000,1.649000
285,142000,500,2361,2008,2201,1857,1.913000,1.637000
286,142500,500,2333,2012,2173,1861,1.895000,1.640000
287,143000,500,2179,2012,2017,1861,1.767000,1.641000
288,143500,500,2013,2020,1856,1870,1.636000,1.648000
289,144000,500,1971,2024,1812,1872,1.601000,1.650000
290,144500,500,1996,2024,1839,1872,1.624000,1.650000
291,145000,500,1860,2024,1709,1872,1.514000,1.650000
292,145500,500,1758,2024,1604,1873,1.435000,1.650000
293,146000,500,1748,2020,1593,1869,1.429000,1.649000
294,146500,500,1940,2036,1786,1886,1.577000,1.661000
295,147000,500,2234,2028,2075,1875,1.814000,1.653000
296,147500,500,2366,2032,2206,1879,1.920000,1.657000
297,148000,500,2373,2028,2207,1875,1.925000,1.653000
298,148500,500,2268,2028,2110,1875,1.841000,1.653000
299,149000,500,2228,2020,2072,1869,1.809000,1.647000
300,149500,500,2283,2028,2123,1873,1.853000,1.653000
301,150000,500,2313,2032,2154,1879,1.875000,1.655000
302,150500,500,2361,2036,2201,1887,1.915000,1.661000
303,151000,500,2342,2024,2178,1872,1.900000,1.650000
304,151500,500,2343,2024,2182,1872,1.900000,1.650000
305,152000,500,2377,2032,2218,1879,1.926000,1.657000
306,152500,500,2367,2028,2208,1875,1.921000,1.652000
307,153000,500,2365,2036,2205,1885,1.921000,1.661000
308,153500,500,2325,2020,2163,1871,1.886000,1.649000
309,154000,500,2320,2024,2160,1872,1.882000,1.650000
310,154500,500,2335,2024,2177,1873,1.902000,1.650000
311,155000,500,2308,2036,2147,1884,1.873000,1.661000
312,155500,500,2277,2020,2116,1871,1.846000,1.648000
313,156000,500,2197,2016,2034,1866,1.781000,1.642000
314,156500,500,2161,2012,2000,1859,1.753000,1.640000
315,157000,500,2152,2012,1989,1860,1.745000,1.639000
316,157500,500,2129,2016,1969,1865,1.727000,1.646000
317,158000,500,2101,2024,1940,1872,1.707000,1.650000
318,158500,500,2036,2016,1877,1865,1.653000,1.644000
319,159000,500,1997,2016,1840,1866,1.624000,1.645000
320,159500,500,1983,2020,1824,1870,1.611000,1.648000
321,160000,500,1972,2012,1813,1859,1.603000,1.640000
322,160500,500,1971,2020,1811,1872,1.599000,1.649000
323,161000,500,1933,2008,1776,1856,1.572000,1.638000
324,161500,500,1930,2028,1774,1875,1.569000,1.653000
325,162000,500,1942,2020,1783,1872,1.577000,1.650000
326,162500,500,1964,2024,1806,1872,1.598000,1.650000
327,163000,500,1988,2032,1828,1878,1.616000,1.657000
328,163500,500,1973,2028,1811,1874,1.603000,1.652000
329,164000,500,1961,2028,1807,1875,1.595000,1.655000
330,164500,500,1953,2032,1793,1878,1.587000,1.658000
331,165000,500,1952,2024,1797,1872,1.587000,1.650000
332,165500,500,1960,2032,1801,1879,1.595000,1.657000
333,166000,500,1935,2020,1776,1869,1.574000,1.648000
334,166500,500,1924,2036,1770,1885,1.566000,1.661000
335,167000,500,1912,2032,1754,1879,1.555000,1.656000
336,167500,500,1922,2044,1763,1893,1.562000,1.669000
337,168000,500,1939,2032,1779,1881,1.575000,1.657000
338,168500,500,1935,2044,1776,1894,1.573000,1.669000
339,169000,500,1938,2028,1779,1875,1.573000,1.654000
340,169500,500,1947,2024,1791,1871,1.583000,1.650000
341,170000,500,1978,2028,1819,1875,1.609000,1.653000
342,170500,500,2018,2036,1857,1887,1.639000,1.659000
343,171000,500,2028,2028,1872,1874,1.648000,1.653000
344,171500,500,2035,2024,1877,1872,1.652000,1.650000
345,172000,500,2038,2024,1882,1873,1.655000,1.650000
346,172500,500,2072,2016,1913,1866,1.684000,1.645000
347,173000,500,2125,2028,1968,1876,1.726000,1.653000
348,173500,500,2168,2016,2006,1866,1.758000,1.645000
349,174000,500,2211,2028,2047,1873,1.797000,1.653000
350,174500,500,2236,2016,2078,1867,1.816000,1.645000
351,175000,500,2268,2028,2111,1875,1.843000,1.653000
352,175500,500,2301,2012,2141,1859,1.867000,1.640000
353,176000,500,2319,2016,2160,1865,1.882000,1.646000
354,176500,500,2339,2024,2179,1873,1.897000,1.650000
355,177000,500,2339,2024,2178,1872,1.897000,1.650000
356,177500,500,2336,2012,2176,1861,1.894000,1.640000
357,178000,500,2322,2024,2164,1872,1.884000,1.650000
358,178500,500,2290,2020,2128,1872,1.856000,1.649000
359,179000,500,2258,2036,2096,1885,1.833000,1.660000
