sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
937,467999,500,467999,1946,1887,1.568205,1.520659,2109,2040
938,468499,500,468499,1834,1882,1.477949,1.516630,1995,2036
939,468999,500,468999,1715,1887,1.382051,1.520659,1878,2042
940,469499,500,469499,1613,1890,1.299853,1.523077,1768,2044
941,469999,500,469999,1509,1888,1.216044,1.521465,1670,2042
942,470499,500,470499,1440,1885,1.160440,1.519048,1598,2038
943,470999,500,470999,1382,1889,1.113700,1.522271,1541,2044
944,471499,500,471499,1337,1888,1.077436,1.521465,1497,2042
945,471999,500,471999,1293,1883,1.041978,1.517436,1464,2038
946,472499,500,472499,1295,1893,1.043590,1.525494,1456,2046
947,472999,500,472999,1315,1886,1.059707,1.519853,1477,2040
948,473499,500,473499,1359,1890,1.095165,1.523077,1518,2042
949,473999,500,473999,1412,1882,1.137875,1.516630,1572,2036
950,474499,500,474499,1480,1886,1.192674,1.519853,1641,2042
951,474999,500,474999,1564,1891,1.260366,1.523883,1722,2044
952,475499,500,475499,1655,1886,1.333700,1.519853,1816,2040
953,475999,500,475999,1750,1884,1.410256,1.518242,1912,2040
954,476499,500,476499,1846,1886,1.487619,1.519853,2008,2040
955,476999,500,476999,1947,1884,1.569011,1.518242,2111,2038
956,477499,500,477499,2053,1891,1.654432,1.523883,2214,2042
957,477999,500,477999,2146,1883,1.729377,1.517436,2311,2036
958,478499,500,478499,2224,1883,1.792235,1.517436,2389,2038
959,478999,500,478999,2277,1885,1.834945,1.519048,2444,2040
960,479499,500,479499,2324,1890,1.872821,1.523077,2490,2044
961,479999,500,479999,2362,1887,1.903443,1.520659,2526,2040
962,480499,500,480499,2379,1890,1.917143,1.523077,2546,2042
963,480999,500,480999,2379,1892,1.917143,1.524689,2543,2042
964,481499,500,481499,2343,1889,1.888132,1.522271,2511,2044
965,481999,500,481999,2303,1889,1.855898,1.522271,2467,2044
966,482499,500,482499,2244,1890,1.808352,1.523077,2410,2042
967,482999,500,482999,2175,1890,1.752747,1.523077,2344,2044
968,483499,500,483499,2099,1887,1.691502,1.520659,2262,2040
969,483999,500,483999,2007,1885,1.617363,1.519048,2171,2040
970,484499,500,484499,1921,1888,1.548059,1.521465,2083,2042
971,484999,500,484999,1834,1887,1.477949,1.520659,1994,2040
972,485499,500,485499,1741,1890,1.403004,1.523077,1901,2044
973,485999,500,485999,1649,1887,1.328864,1.520659,1809,2042
974,486499,500,486499,1567,1887,1.262784,1.520659,1724,2042
975,486999,500,486999,1505,1887,1.212821,1.520659,1666,2040
976,487499,500,487499,1461,1884,1.177363,1.518242,1624,2038
977,487999,500,487999,1434,1887,1.155604,1.520659,1594,2042
978,488499,500,488499,1409,1887,1.135458,1.520659,1569,2042
979,488999,500,488999,1402,1886,1.129817,1.519853,1563,2040
980,489499,500,489499,1425,1890,1.148352,1.523077,1583,2044
981,489999,500,489999,1467,1885,1.182198,1.519048,1627,2040
982,490499,500,490499,1520,1888,1.224908,1.521465,1681,2042
983,490999,500,490999,1590,1888,1.281319,1.521465,1747,2042
984,491499,500,491499,1659,1887,1.336923,1.520659,1820,2042
985,491999,500,491999,1745,1885,1.406227,1.519048,1907,2040
986,492499,500,492499,1835,1889,1.478755,1.522271,1997,2044
987,492999,500,492999,1923,1886,1.549670,1.519853,2086,2038
988,493499,500,493499,2009,1875,1.618974,1.510989,2174,2032
989,493999,500,493999,2106,1884,1.697143,1.518242,2267,2038
990,494499,500,494499,2192,1886,1.766447,1.519853,2353,2040
991,494999,500,494999,2263,1879,1.823663,1.514212,2428,2034
992,495499,500,495499,2309,1894,1.860733,1.526300,2475,2048
993,495999,500,495999,2346,1891,1.890550,1.523883,2508,2044
994,496499,500,496499,2367,1890,1.907473,1.523077,2532,2044
995,496999,500,496999,2381,1885,1.918755,1.519048,2545,2038
996,497499,500,497499,2370,1891,1.909890,1.523883,2536,2044
997,497999,500,497999,2338,1888,1.884103,1.521465,2503,2042
998,498499,500,498499,2285,1890,1.841392,1.523077,2449,2044
999,498999,500,498999,2224,1882,1.792235,1.516630,2386,2036
1000,499499,500,499499,2151,1887,1.733407,1.520659,2312,2042
1001,499999,500,499999,2067,1886,1.665714,1.519853,2229,2040
1002,500499,500,500499,1972,1883,1.589157,1.517436,2136,2036
1003,500999,500,500999,1883,1889,1.517436,1.522271,2043,2042
1004,501499,500,501499,1791,1888,1.443297,1.521465,1951,2042
1005,501999,500,501999,1697,1892,1.367546,1.524689,1856,2044
1006,502499,500,502499,1603,1889,1.291795,1.522271,1762,2042
1007,502999,500,502999,1518,1887,1.223297,1.520659,1677,2042
1008,503499,500,503499,1453,1886,1.170916,1.519853,1610,2040
1009,503999,500,503999,1410,1888,1.136264,1.521465,1569,2040
1010,504499,500,504499,1379,1892,1.111282,1.524689,1539,2044
1011,504999,500,504999,1358,1889,1.094359,1.522271,1517,2042
1012,505499,500,505499,1350,1873,1.087912,1.509377,1510,2040
1013,505999,500,505999,1363,1885,1.098388,1.519048,1526,2040
1014,506499,500,506499,1413,1886,1.138681,1.519853,1571,2040
1015,506999,500,506999,1467,1886,1.182198,1.519853,1627,2040
1016,507499,500,507499,1535,1891,1.236996,1.523883,1696,2044
1017,507999,500,507999,1616,1886,1.302271,1.519853,1774,2040
1018,508499,500,508499,1705,1886,1.373993,1.519853,1863,2040
1019,508999,500,508999,1795,1888,1.446520,1.521465,1959,2044
1020,509499,500,509499,1890,1887,1.523077,1.520659,2054,2042
1021,509999,500,509999,1982,1883,1.597216,1.517436,2146,2038
1022,510499,500,510499,2083,1883,1.678608,1.517436,2245,2038
1023,510999,500,510999,2173,1886,1.751136,1.519853,2339,2040
1024,511499,500,511499,2256,1893,1.818022,1.525494,2422,2046
1025,511999,500,511999,2320,1889,1.869597,1.522271,2480,2042
1026,512499,500,512499,2359,1888,1.901026,1.521465,2521,2042
1027,512999,500,512999,2384,1887,1.921172,1.520659,2549,2040
1028,513499,500,513499,2406,1887,1.938901,1.520659,2572,2042
1029,513999,500,513999,2411,1886,1.942930,1.519853,2573,2040
1030,514499,500,514499,2385,1885,1.921978,1.519048,2550,2040
1031,514999,500,514999,2337,1885,1.883297,1.519048,2502,2040
1032,515499,500,515499,2279,1885,1.836557,1.519048,2445,2038
1033,515999,500,515999,2214,1885,1.784176,1.519048,2376,2040
1034,516499,500,516499,2132,1891,1.718095,1.523883,2298,2044
1035,516999,500,516999,2043,1873,1.646374,1.509377,2207,2038
1036,517499,500,517499,1952,1888,1.573040,1.521465,2115,2040
1037,517999,500,517999,1861,1888,1.499707,1.521465,2023,2042
1038,518499,500,518499,1775,1888,1.430403,1.521465,1932,2042
1039,518999,500,518999,1679,1886,1.353040,1.519853,1837,2040
1040,519499,500,519499,1596,1889,1.286154,1.522271,1749,2042
1041,519999,500,519999,1514,1889,1.220073,1.522271,1673,2042
1042,520499,500,520499,1463,1887,1.178974,1.520659,1624,2042
1043,520999,500,520999,1427,1888,1.149963,1.521465,1589,2042
1044,521499,500,521499,1403,1888,1.130623,1.521465,1563,2042
1045,521999,500,521999,1392,1889,1.121758,1.522271,1546,2044
1046,522499,500,522499,1392,1889,1.121758,1.522271,1552,2042
1047,522999,500,522999,1424,1891,1.147546,1.523883,1582,2046
1048,523499,500,523499,1470,1890,1.184615,1.523077,1631,2044
1049,523999,500,523999,1529,1887,1.232161,1.520659,1690,2042
1050,524499,500,524499,1601,1889,1.290183,1.522271,1760,2044
1051,524999,500,524999,1680,1886,1.353846,1.519853,1839,2042
1052,525499,500,525499,1766,1890,1.423150,1.523077,1926,2042
