sample_idx,applied_us,dt_us,flags,dac0,dac1,dac2,dac3,adc34,adc35
277,5589176,500,0,2011,2034,2048,2048,1715,1898
278,5598428,500,0,1967,2036,2048,2048,1686,1901
279,5611603,500,0,1993,2036,2048,2048,1702,1899
280,5620957,500,0,1848,2036,2048,2048,1614,1902
281,5630267,500,0,1739,2036,2048,2048,1535,1901
282,5639562,500,0,1728,2034,2048,2048,1521,1897
283,5648850,500,0,1934,2042,2048,2048,1662,1904
284,5658144,500,0,2247,2038,2048,2048,1851,1900
285,5667386,500,0,2390,2040,2048,2048,1933,1900
286,5676674,500,0,2397,2038,2048,2048,1938,1900
287,5685907,500,0,2283,2038,2048,2048,1872,1900
288,5695148,500,0,2240,2034,2048,2048,1851,1897
289,5708277,500,0,2299,2038,2048,2048,1885,1904
290,5717566,500,0,2332,2040,2048,2048,1904,1903
291,5726742,500,0,2384,2042,2048,2048,1932,1903
292,5736024,500,0,2363,2036,2048,2048,1922,1901
293,5745214,500,0,2364,2036,2048,2048,1923,1899
294,5769624,500,0,2401,2040,2048,2048,1942,1903
295,5778867,500,0,2390,2038,2048,2048,1936,1902
296,5788215,500,0,2389,2042,2048,2048,1936,1904
297,5797455,500,0,2344,2034,2048,2048,1909,1898
298,5806737,500,0,2339,2036,2048,2048,1907,1899
299,5815919,500,0,2356,2036,2048,2048,1917,1899
300,5828973,500,0,2326,2042,2048,2048,1901,1905
301,5838315,500,0,2292,2034,2048,2048,1879,1897
302,5847440,500,0,2208,2032,2048,2048,1834,1895
303,5908432,500,0,2169,2030,2048,2048,1808,1894
304,5917660,500,0,2159,2030,2048,2048,1806,1891
305,5926994,500,0,2134,2032,2048,2048,1790,1895
306,5936232,500,0,2105,2036,2048,2048,1776,1899
307,5945514,500,0,2035,2032,2048,2048,1730,1895
308,5954686,500,0,1994,2032,2048,2048,1705,1897
309,5964020,500,0,1980,2034,2048,2048,1696,1897
310,5977122,500,0,1967,2030,2048,2048,1685,1892
311,5986460,500,0,1967,2034,2048,2048,1686,1899
312,5995515,500,0,1926,2029,2048,2048,1661,1889
313,6004789,500,0,1635,2040,2048,2048,1456,1904
314,6029078,500,0,1656,2036,2048,2048,1469,1901
315,6038482,500,0,1675,2040,2048,2048,1482,1904
316,6047660,500,0,1692,2036,2048,2048,1492,1903
317,6056938,500,0,1725,2036,2048,2048,1519,1900
318,6066059,500,0,1788,2040,2048,2048,1568,1902
319,6075408,500,0,1834,2038,2048,2048,1599,1902
320,6088493,500,0,1757,2044,2048,2048,1535,1906
321,6097812,500,0,1696,2038,2048,2048,1494,1902
322,6107043,500,0,1649,2036,2048,2048,1457,1900
323,6116315,500,0,1615,2038,2048,2048,1431,1902
324,6125488,500,0,1583,2036,2048,2048,1403,1899
325,6134757,500,0,2645,2040,2048,2048,2079,1903
326,6143926,500,0,2715,2040,2048,2048,2119,1903
327,6153196,500,0,2782,2040,2048,2048,2158,1902
