time_us,adc_raw
2567985,0
2568484,0
2568985,0
2569484,0
2569984,0
2570485,0
2570985,0
2571485,0
2571985,0
2572484,0
2572984,0
2573484,0
2573984,0
2574485,0
2574985,0
2575484,0
2575984,0
2576485,0
2576985,0
2577484,0
2577984,0
2578485,0
2578985,0
2579484,0
2579984,0
2580485,0
2580984,0
2581484,0
2581985,0
2582484,0
2582984,0
2583485,0
2583985,0
2584484,0
2584984,0
2585485,0
2585985,0
2586484,0
2586984,0
2587484,0
2587984,0
2588484,0
2588984,0
2589485,0
2589984,0
2590485,0
2590984,0
2591484,0
2591984,0
2592484,0
2592984,0
2593484,0
2593984,0
2594485,0
2594984,0
2595484,0
2595985,0
2596484,0
2596984,0
2597484,0
2597984,0
2598484,0
2598984,0
2599485,0
2599984,0
2600485,0
2600984,0
2601484,0
2601984,0
2602484,0
2602985,0
2603484,0
2603984,0
2604485,0
2604985,0
2605484,0
2605985,0
2606484,0
2606984,0
2607485,0
2607985,0
2608484,0
2608985,0
2609484,0
2609984,0
2610485,0
2610985,0
2611484,0
2611984,0
2612485,0
2612985,0
2613484,0
2613985,29
2614484,0
2614985,0
2615484,0
2615985,0
2616484,0
2616985,48
2617484,0
2617984,0
2618484,0
2618985,0
2619484,0
2619984,0
2620484,0
2620985,0
2621484,0
2621984,0
2622484,0
2622984,0
2623485,0
2623985,0
2624484,0
2624984,0
2625484,0
2625984,0
2626485,0
2626985,0
2627484,0
2627985,0
2628484,0
2628985,0
2629484,0
2629984,0
2630484,0
2630984,90
2631485,0
2631984,0
2632485,0
2632985,0
2633484,0
2633985,0
2634484,0
2634985,0
2635484,0
2635984,0
2636484,0
2636985,0
2637485,0
2637984,0
2638484,0
2638984,0
2639485,0
2639985,0
2640484,0
2640984,0
2641484,0
2641984,0
2642484,0
2642985,0
2643484,0
2643984,0
2644485,0
2644984,0
2645484,0
2645985,0
2646484,0
2646984,1
2647484,0
2647984,0
2648485,0
2648985,0
2649484,0
2649985,0
2650484,0
2650984,10
2651484,0
