dev_t_s,dev_t_us,seq,adc_34,adc_35,v_inst,i_inst,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,norm_ready,norm_gain_v,norm_gain_i,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,dist_line_z_ohm,dist_z1_ohm,dist_z2_ohm,dist_line_angle_deg,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_permit,dir67_block_active,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_trip,ov_trip,voltage_trip_code,cycle_id,cycle_update,quality_flags
32.970634460,32970634,10435,2369,2426,92315.226562500,74.132202148,209145.703125000,46.931579590,-35.965958,-20.052414,15.913544,1,58.397572,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,453,1,0
32.987068176,32987067,10458,2296,2429,23590.970703125,103.075286865,208512.437500000,45.053901672,-31.740036,-22.839722,8.900314,1,60.853161,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,454,1,0
33.003486633,33003489,10481,2288,2422,16048.387695312,36.401371002,210705.453125000,51.091030121,-35.841537,-10.179718,25.661819,1,60.893921,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,455,1,0
33.019916534,33019916,10504,2275,2421,3697.503173828,26.991971970,216190.875000000,41.557323456,-41.577179,-33.590591,7.986588,1,60.875389,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,456,1,0
33.037044525,33037043,10528,2287,2423,14975.912109375,46.236026764,211482.578125000,48.892742157,-41.530365,-20.026443,21.503922,1,58.387341,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,457,1,0
33.053478241,33053481,10551,2276,2419,4633.549804688,8.255121231,214361.671875000,44.605922699,-37.173798,-12.937164,24.236633,1,60.834652,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,458,1,0
33.070606232,33070609,10575,2335,2427,60151.003906250,84.824447632,209788.718750000,44.750823975,-38.123566,-16.023392,22.100174,1,58.383934,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,459,1,0
33.087039948,33087041,10598,2288,2421,15915.582031250,27.681428909,207272.828125000,46.816257477,-32.922256,-18.901535,14.020721,1,60.856865,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,460,1,0
33.103466034,33103466,10621,2280,2416,8373.556640625,-19.793642044,212517.546875000,42.022449493,-38.561981,-27.584198,10.977783,1,60.882801,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,461,1,0
33.120590210,33120593,10645,2320,2428,45960.632812500,94.938842773,206888.062500000,49.913082123,-38.854446,-24.427780,14.426666,1,58.387341,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,462,1,0
33.137035370,33137035,10668,2288,2423,15920.180664062,47.453880310,213584.171875000,40.448337555,-34.416046,-20.741028,13.675018,1,60.819851,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,463,1,0
33.154151917,33154153,10692,2392,2429,113849.453125000,104.927490234,207446.312500000,36.326087952,-34.518005,-10.591599,23.926407,1,58.418041,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,464,1,0
33.170581818,33170579,10715,2310,2423,36719.175781250,47.914459229,214221.875000000,46.499347687,-29.857056,-11.592728,18.264328,1,60.879093,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,465,1,0
33.187000275,33187000,10738,2280,2422,8536.879882812,38.584178925,216386.171875000,47.591609955,-35.267197,-10.965759,24.301437,1,60.897633,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,466,1,0
33.204128265,33204130,10762,2368,2428,91432.273437500,96.081809998,216341.875000000,47.377655029,-35.955185,-13.742508,22.212677,1,58.377117,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,467,1,0
