sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
156,78000,500,1265,2603,1109,2451,1.034000,2.117000,0,0
157,78500,500,1176,2653,1012,2499,0.956000,2.159000,0,0
158,79000,500,1115,2685,951,2533,0.908000,2.184000,0,0
159,79500,500,1087,2684,930,2534,0.887000,2.183000,0,0
160,80000,500,1094,2662,933,2512,0.892000,2.166000,0,0
161,80500,500,1133,2605,971,2453,0.925000,2.120000,0,0
162,81000,500,1211,2548,1054,2398,0.991000,2.075000,0,0
163,81500,500,1319,2475,1162,2323,1.078000,2.012000,0,0
164,82000,500,1451,2385,1293,2235,1.184000,1.944000,0,0
165,82500,500,1655,2233,1498,2086,1.346000,1.822000,0,0
166,83000,500,1822,2115,1667,1966,1.483000,1.726000,0,0
167,83500,500,1996,1994,1840,1841,1.624000,1.625000,0,0
168,84000,500,2177,1872,2016,1723,1.766000,1.531000,0,0
169,84500,500,2358,1760,2197,1613,1.912000,1.441000,0,0
170,85000,500,2525,1660,2365,1506,2.048000,1.359000,0,0
171,85500,500,2673,1579,2503,1424,2.164000,1.290000,0,0
172,86000,500,2796,1513,2638,1360,2.266000,1.238000,0,0
173,86500,500,2893,1456,2736,1300,2.346000,1.189000,0,0
174,87000,500,2961,1419,2801,1264,2.399000,1.162000,0,0
175,87500,500,3003,1411,2847,1260,2.436000,1.155000,0,0
176,88000,500,3007,1420,2849,1265,2.439000,1.160000,0,0
177,88500,500,2979,1465,2823,1307,2.416000,1.199000,0,0
178,89000,500,2913,1528,2755,1375,2.362000,1.251000,0,0
179,89500,500,2815,1595,2656,1441,2.282000,1.304000,0,0
180,90000,500,2690,1685,2527,1533,2.176000,1.378000,0,0
181,90500,500,2544,1781,2384,1631,2.063000,1.458000,0,0
182,91000,500,2385,1905,2227,1755,1.935000,1.557000,0,0
183,91500,500,2218,2026,2063,1873,1.804000,1.652000,0,0
184,92000,500,2039,2144,1879,1993,1.656000,1.748000,0,0
185,92500,500,1858,2266,1702,2115,1.514000,1.848000,0,0
186,93000,500,1679,2367,1520,2219,1.367000,1.926000,0,0
187,93500,500,1518,2466,1360,2315,1.238000,2.009000,0,0
188,94000,500,1377,2541,1217,2390,1.126000,2.067000,0,0
189,94500,500,1265,2603,1107,2451,1.035000,2.118000,0,0
190,95000,500,1176,2653,1013,2503,0.958000,2.159000,0,0
191,95500,500,1115,2685,954,2535,0.908000,2.183000,0,0
